bus_name,base_kv,vm_a_pu,va_a_deg,vm_b_pu,va_b_deg,vm_c_pu,va_c_deg
1,0.416,1.0488,-30.2,1.0469,-150.3,1.049,89.9
2,0.416,1.0487,-30.2,1.0464,-150.3,1.0491,89.9
3,0.416,1.0487,-30.2,1.0464,-150.3,1.0491,89.9
4,0.416,1.0487,-30.2,1.0463,-150.3,1.0491,89.9
5,0.416,1.0487,-30.2,1.0463,-150.3,1.0491,89.9
6,0.416,1.0487,-30.2,1.0462,-150.3,1.0491,89.9
7,0.416,1.0479,-30.1,1.0419,-150.3,1.0495,89.9
8,0.416,1.0479,-30.1,1.0417,-150.3,1.0495,89.9
9,0.416,1.0479,-30.1,1.0416,-150.3,1.0495,89.9
10,0.416,1.0479,-30.1,1.0414,-150.3,1.0496,89.8
11,0.416,1.0478,-30.1,1.0413,-150.3,1.0496,89.8
12,0.416,1.0478,-30.1,1.0412,-150.3,1.0496,89.8
13,0.416,1.0478,-30.1,1.0412,-150.3,1.0496,89.8
14,0.416,1.0478,-30.1,1.041,-150.3,1.0496,89.8
15,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
16,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
17,0.416,1.0473,-30,1.0383,-150.3,1.0499,89.8
18,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
19,0.416,1.0473,-30,1.0382,-150.3,1.0499,89.8
20,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
21,0.416,1.0473,-30,1.0381,-150.3,1.0499,89.8
22,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
23,0.416,1.0472,-30,1.0379,-150.3,1.0499,89.8
24,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
25,0.416,1.0472,-30,1.0376,-150.3,1.0499,89.8
26,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
27,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
28,0.416,1.0465,-29.9,1.0333,-150.3,1.0503,89.7
29,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
30,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
31,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
32,0.416,1.0464,-29.9,1.0322,-150.3,1.0504,89.7
33,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
34,0.416,1.047,-30,1.0376,-150.3,1.0499,89.8
35,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
36,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
37,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
38,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
39,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
40,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
41,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
42,0.416,1.0454,-29.8,1.0264,-150.2,1.0509,89.6
43,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
44,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
45,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
46,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
47,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
48,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
49,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
50,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
51,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
52,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
53,0.416,1.0451,-29.7,1.0244,-150.2,1.0511,89.6
54,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
55,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
56,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
57,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
58,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
59,0.416,1.0449,-29.7,1.0232,-150.2,1.0512,89.6
60,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
61,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
62,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
63,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
64,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
65,0.416,1.0449,-29.7,1.023,-150.2,1.0512,89.6
66,0.416,1.0449,-29.7,1.0232,-150.2,1.0512,89.6
67,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
68,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
69,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
70,0.416,1.0471,-30,1.0376,-150.3,1.0499,89.8
71,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
72,0.416,1.0445,-29.7,1.0202,-150.2,1.0515,89.5
73,0.416,1.0449,-29.7,1.0232,-150.2,1.0512,89.6
74,0.416,1.0449,-29.7,1.0232,-150.2,1.0512,89.6
75,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
76,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
77,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
78,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
79,0.416,1.0443,-29.6,1.0192,-150.2,1.0516,89.5
80,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
81,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
82,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
83,0.416,1.0464,-29.9,1.0321,-150.3,1.0504,89.7
84,0.416,1.0443,-29.6,1.019,-150.2,1.0516,89.5
85,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
86,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
87,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
88,0.416,1.0443,-29.6,1.0186,-150.2,1.0516,89.5
89,0.416,1.0452,-29.7,1.0247,-150.2,1.0511,89.6
90,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
91,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
92,0.416,1.0442,-29.6,1.0182,-150.2,1.0517,89.5
93,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
94,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
95,0.416,1.0442,-29.6,1.018,-150.2,1.0517,89.5
96,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
97,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
98,0.416,1.0441,-29.6,1.0178,-150.2,1.0517,89.5
99,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
100,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
101,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
102,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
103,0.416,1.0476,-30,1.0398,-150.3,1.0497,89.8
104,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
105,0.416,1.0441,-29.6,1.0175,-150.2,1.0517,89.5
106,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
107,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
108,0.416,1.0441,-29.6,1.0174,-150.2,1.0518,89.5
109,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
110,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
111,0.416,1.0435,-29.5,1.0144,-150.2,1.0523,89.4
112,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
113,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
114,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
115,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
116,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
117,0.416,1.0434,-29.5,1.0141,-150.2,1.0524,89.4
118,0.416,1.0432,-29.5,1.0133,-150.2,1.0526,89.4
119,0.416,1.0458,-29.8,1.0288,-150.3,1.0507,89.7
120,0.416,1.0441,-29.6,1.0176,-150.2,1.0517,89.5
